,dataset,sequence,delentropy,blur,brightness distance,t1,t2,t3,r1,r2,r3
0,mimir,OceanFloor,0.002076361803198345,,,0.015357790666364233,-0.030758138479920698,0.015715070568910684,-4.8573444529345636e-05,-7.32921717046655e-05,-0.00327147602589409
1,mimir,SandPipe,0.007082617854028434,,,0.01664887010387046,0.047918543780931,-0.00020458371168323165,-0.0001845830423051225,0.00024291262153068135,-0.0006226691948192397
2,mimir,SeaFloor,0.06266523362754603,,,-0.0260797595199683,-0.05022096468199129,-0.011546840992609731,-0.00236213928962886,0.00028799928681032727,0.000308827209191827
3,mimir,SandPipe,-0.0,,,-0.0022992255882508584,-0.015852424324134938,-0.0023710920850386306,6.769598623271958e-05,-0.00015804432398151518,0.0003525946116669834
4,mimir,OceanFloor,0.007972387912954775,,,0.014210603759250538,-0.020105900779518144,-0.010437493057111428,0.0009857144788720767,-0.000341349651884303,-0.001320063405585229
5,mimir,SeaFloor,0.03313414933355774,,,-0.012536802334089074,-0.025504336982952184,-0.03452567920241814,0.011187453613550483,-0.0001503452933759622,0.000901124618047125
6,mimir,OceanFloor,-0.0,,,-0.042926130072440165,0.025971698047077853,-0.0026654495158130857,-0.0058947577774899965,-0.0006084551895009827,0.00047271156184391786
7,mimir,SeaFloor,0.030250782198030544,,,-0.011846520066333284,-0.013969543799532008,-0.043844027512680094,0.0041471916068634975,0.0031375710136624596,-0.0013525364025408478
8,mimir,SeaFloor,0.020876832738266706,,,-0.08185829645751429,0.05479652704200017,0.03431325905889159,-0.015148121488653674,0.003954750849488253,-0.0011803061912708853
9,mimir,OceanFloor,0.01011575234156795,,,0.15309907581653762,0.0601500881991566,-0.015681191677631184,0.02448886949280898,0.0012520488735173298,0.0031604221588185334
10,mimir,SeaFloor_Algae,0.013720472487479483,,,0.010126749146192757,-0.00326178315986553,0.0013153964737537271,0.02365647679045935,-0.0015885271744064372,0.005075174384921724
11,mimir,OceanFloor,-0.0,,,-0.13292793221123111,-0.04298930951719733,-0.014689252746375581,0.0021196800368304468,0.002777049304959108,0.001492394568438516
12,mimir,OceanFloor,0.0013854090798214047,,,0.03146376424840369,0.022327520173895443,-0.003219416067788927,0.002346038701827222,-0.0002794277191459956,0.00010053530043717018
13,mimir,SeaFloor_Algae,0.0629967178955613,,,0.023812904107811634,-0.08677504618423339,0.023352470030243107,0.019155859627480332,-0.001545638583462017,0.0025665246566095516
14,mimir,SandPipe,0.0011713591837531033,,,-0.0029113405232681446,-0.00858878315252914,0.04842782365464211,-0.0019177440917960934,-0.0016598774049577133,0.0028925296791161184
15,mimir,OceanFloor,0.03208711146629707,,,-0.025750152289190368,-0.020288435220823194,-0.007695451932126357,0.006310073688870894,0.001323996862543514,-0.0019340722441924245
16,mimir,SeaFloor_Algae,0.036914266858678664,,,0.009760705195725423,-0.041020934732019516,-0.06327653247743034,-0.012843284975997144,0.0004084853309078471,0.0007306889375740934
17,mimir,SeaFloor,0.009618829174439979,,,0.022651560382627743,-0.027127600877451866,-0.0007602683126643021,-0.0144734072740614,-0.0007175348121579745,0.0026577335058425374
18,mimir,OceanFloor,0.0003632846934914338,,,-0.005598308358019969,-0.005358394821481285,0.04222216586500104,-0.005729113064120367,-0.0004478231648768876,0.0017445677779013725
19,mimir,SeaFloor_Algae,0.04468541796711186,,,0.04127805370897057,-0.04188687957304154,-0.10214077229361845,-0.017145222189718038,0.0011335258431486152,-0.001557172309314773
20,mimir,SandPipe,-0.0,,,0.005527985233497465,0.030687640656941524,0.002802914961104763,0.000676676333010785,0.0008560035002127752,-0.0013855670702669987
21,mimir,SeaFloor_Algae,0.031236571479120144,,,-0.01651012261404067,0.009829061685679395,0.009763272396922635,-0.008994692346456884,0.0008409744608774542,0.0001045628407877999
22,mimir,SeaFloor,0.024288653745248034,,,-0.025996171207086385,0.03664997160487683,-0.041510247473557624,0.004600292257518389,0.003453231382207802,-0.0016319906439201388
